,,,count
Восточный административный округ,Нижегородский район,Бесплатная,1
Восточный административный округ,район Богородское,Бесплатная,2
Восточный административный округ,район Вешняки,Бесплатная,5
Восточный административный округ,район Восточное Измайлово,Бесплатная,1
Восточный административный округ,район Восточное Измайлово,Платная,1
Восточный административный округ,район Гольяново,Бесплатная,2
Восточный административный округ,район Ивановское,Бесплатная,2
Восточный административный округ,район Измайлово,Бесплатная,2
Восточный административный округ,район Измайлово,Платная,5
Восточный административный округ,район Метрогородок,Бесплатная,4
Восточный административный округ,район Новогиреево,Бесплатная,2
Восточный административный округ,район Новокосино,Бесплатная,1
Восточный административный округ,район Перово,Бесплатная,5
Восточный административный округ,район Преображенское,Платная,2
Западный административный округ,Можайский район,Бесплатная,1
Западный административный округ,Можайский район,Платная,3
Западный административный округ,район Дорогомилово,Бесплатная,1
Западный административный округ,район Дорогомилово,Платная,1
Западный административный округ,район Крылатское,Платная,4
Западный административный округ,район Кунцево,Платная,1
Западный административный округ,район Марьино,Платная,1
Западный административный округ,район Ново-Переделкино,Бесплатная,4
Западный административный округ,район Ново-Переделкино,Платная,2
Западный административный округ,район Очаково-Матвеевское,Бесплатная,1
Западный административный округ,район Раменки,Платная,4
Западный административный округ,район Фили-Давыдково,Платная,4
Западный административный округ,район Филёвский Парк,Бесплатная,1
Зеленоградский административный округ,район Крюково,Платная,1
Зеленоградский административный округ,район Савёлки,Платная,6
Зеленоградский административный округ,район Силино,Бесплатная,5
Зеленоградский административный округ,район Силино,Платная,1
Новомосковский административный округ,поселение Московский,Бесплатная,2
Новомосковский административный округ,поселение Московский,Платная,1
Новомосковский административный округ,поселение Сосенское,Бесплатная,4
Новомосковский административный округ,поселение Сосенское,Платная,1
Северный административный округ,Войковский район,Платная,2
Северный административный округ,Дмитровский район,Бесплатная,3
Северный административный округ,Дмитровский район,Платная,2
Северный административный округ,Молжаниновский район,Платная,1
Северный административный округ,Останкинский район,Платная,1
Северный административный округ,Савёловский район,Бесплатная,4
Северный административный округ,Тимирязевский район,Бесплатная,1
Северный административный округ,Тимирязевский район,Платная,5
Северный административный округ,Хорошёвский район,Платная,1
Северный административный округ,район Аэропорт,Платная,1
Северный административный округ,район Беговой,Бесплатная,1
Северный административный округ,район Восточное Дегунино,Бесплатная,2
