ID,SeatsCount,ver_ID
19657,85,2
19681,24,1
19688,7,2
19708,24,1
19710,25,2
19724,111,2
19726,36,1
19741,14,1
19746,85,2
19756,15,2
19816,255,2
19819,175,2
19821,55,2
19823,60,1
19829,133,2
19831,10,1
19841,67,1
19878,150,1
19935,53,2
19941,106,2
19989,45,2
20044,160,2
20049,205,2
20106,57,2
20109,30,1
20123,37,2
20125,70,1
20170,95,2
20182,35,1
20297,85,2
20307,35,2
20308,26,1
20313,40,1
20336,30,1
20337,33,2
20405,30,2
20433,55,2
20486,45,2
20507,85,2
20521,78,1
20621,70,2
20653,24,1
20705,55,2
20719,120,1
20792,0,1
20867,30,1
20903,85,2
20910,0,1
20912,85,2
20921,16,1
20948,30,2
20954,300,1
20956,129,2
20967,21,2
20971,16,1
20999,37,2
21001,16,1
21014,85,1
21016,24,2
21022,25,2
21029,5,1
21035,15,1
21065,8,2
21066,10,1
21069,4,1
21073,11,2
21081,33,2
21089,6,2
21094,60,1
21159,0,1
21162,105,2
21176,38,1
21179,60,1
21181,60,1
21199,130,2
21252,35,2
21291,105,2
21339,44,2
21345,20,1
21352,100,1
21355,30,1
21364,15,2
21366,35,2
21368,38,2
21388,55,2
21390,65,2
21405,101,2
21416,120,1
21428,95,2
21433,120,1
21434,60,1
21437,85,2
21448,45,2
21449,45,2
21462,220,1
21466,90,1
21469,100,1
21476,65,2
21478,101,2
21491,38,1
21492,65,2
21494,80,1
21518,90,1
21519,95,2
21538,305,2
21553,60,1
21568,90,1
21584,80,1
21585,85,2
21586,30,1
21611,75,2
21627,74,2
21723,45,2
21724,50,1
21739,75,2
21756,140,2
21764,85,2
21830,53,2
21834,53,2
21887,70,1
21907,35,2
21943,85,2
21993,70,1
22021,98,1
22028,90,2
22029,47,2
22063,40,1
22068,24,1
22211,53,2
22285,65,2
22292,50,1
22320,113,2
22331,61,2
22360,50,1
22363,170,1
22375,90,1
22377,53,2
22383,128,1
22413,95,2
22418,44,1
22440,50,2
22446,50,1
22535,48,1
22570,170,1
22592,10,1
22644,65,2
22651,109,1
22652,36,1
22708,75,2
22719,278,1
22720,170,1
22721,85,2
22812,87,1
22911,89,2
22933,55,2
22939,40,1
22981,54,2
23039,80,1
23141,120,1
23213,80,1
23242,200,1
23244,245,2
23265,125,2
23266,235,2
23267,150,1
23276,100,1
23298,120,1
23300,255,2
23314,120,1
23325,255,2
23329,240,1
23330,41,2
23338,177,1
23344,193,2
23346,165,2
23350,245,2
23357,145,2
23394,29,2
23419,232,1
23451,71,2
23482,53,2
23488,40,1
23511,134,1
23514,60,1
23515,80,1
23524,156,1
23527,85,2
23546,140,1
23550,225,2
23551,121,2
23559,150,1
23577,150,1
23579,185,2
23581,205,2
23592,185,2
23623,200,1
23625,85,2
23638,155,2
23649,60,1
23650,60,1
23652,155,2
23660,65,2
23669,325,2
23682,42,1
23685,245,2
23686,245,2
23687,245,2
23695,245,2
23707,197,2
23734,89,2
23738,185,2
23750,205,2
23758,245,2
23785,82,1
23786,40,1
23799,173,2
23817,168,1
23819,173,2
23843,90,1
23854,25,1
23855,40,2
23863,155,2
23866,70,2
23915,53,2
23926,53,2
23937,15,1
23962,50,1
24093,85,2
24189,75,1
24193,68,1
24229,105,2
24310,405,2
24311,31,2
24372,35,2
24397,82,2
24410,51,2
24415,45,2
24437,53,2
24439,98,1
24446,250,1
24452,50,1
24473,40,2
24520,75,2
24581,35,2
24599,9,2
24604,43,2
24606,7,1
24612,100,1
24627,205,2
24635,80,1
24646,26,1
24678,85,2
24691,40,1
24760,24,1
24771,49,1
24825,77,2
24872,80,1
24920,45,1
24937,45,2
24940,150,1
24970,35,2
24986,25,2
25119,42,1
25127,53,2
25152,80,1
25154,67,2
25189,55,2
25274,55,2
25292,65,1
25385,150,1
25397,55,2
25406,51,2
25516,175,2
25523,29,2
25597,13,2
25606,41,1
25634,75,1
25696,53,2
25699,21,2
25707,48,1
25744,30,1
25805,25,1
25833,180,1
25877,48,1
25894,95,2
25920,100,2
25938,135,2
25962,305,2
25968,240,1
25977,50,1
26003,60,1
26015,56,2
26024,35,2
26047,45,1
26058,315,2
26075,580,1
26091,95,2
26148,80,1
26172,30,1
26192,125,2
26220,300,1
26239,250,1
26247,125,2
26252,105,2
26254,85,2
26269,675,1
26271,100,2
26273,70,1
26274,285,2
26280,155,2
26290,88,1
26295,165,2
26297,170,2
26301,0,1
26308,150,1
26335,355,2
26432,100,2
26487,88,1
26499,255,2
26520,60,1
26554,97,1
26555,95,1
26562,70,1
26565,98,1
26572,284,1
26580,185,2
26663,50,1
26673,34,1
26681,146,2
26714,155,2
26715,205,2
26746,60,2
26793,48,1
26808,150,1
26817,50,1
26841,130,1
26847,65,1
26856,45,2
26870,43,1
26887,69,2
26895,175,2
26919,120,1
26945,98,1
26946,125,2
26977,50,1
26983,50,1
27010,83,2
27013,50,1
27024,1200,1
27025,17,2
27061,85,2
27083,80,1
27092,55,2
27095,178,1
27119,101,2
27120,190,1
27128,255,2
27171,53,2
27181,80,1
27182,125,2
27183,55,2
27198,65,2
27219,100,1
