Государственный регистрационный номер выпуска,Эмитент,Цена (в процентах от номинала) одной ценной бумаги,"Cтоимость одной ценной бумаги,  определенная в порядке,  установленном Банком России (руб.)","Поправочный коэффициент, установленный Банком России",ISIN,Дата погашения*
12840061V,МИНФИН,1122135,"13 723 239,7533",098,XS0767473852,03.04.2042
12840068V,МИНФИН,1040408,"12 723 752,86864",098,XS0971721450,15.09.2023
12840069V,МИНФИН,1165935,"14 258 895,3573",098,XS0971721963,15.09.2043
12840077V,МИНФИН,1030090,"12 597 568,0622",098,RU000A0JWHA4,26.05.2026
12840078V,МИНФИН,1015606,"12 420 434,82548",098,RU000A0JXTS9,22.06.2027
12840079V,МИНФИН,1071760,"13 107 174,6608",098,RU000A0JXU14,21.06.2047
12840080V,МИНФИН,1010274,"12 355 226,70492",098,RU000A0ZYYN4,20.03.2029
12840086V,МИНФИН,1057478,"12 932 511,79924",098,RU000A1006S9,27.03.2035
12978082V,МИНФИН,1010648,"6 450 753,94792",098,RU000A0ZZVE6,03.12.2025
12978087V,МИНФИН,918941,"5 865 407,42539",098,RU000A102CK5,19.11.2027
12978088V,МИНФИН,893058,"5 700 201,67182",098,RU000A102CL3,19.11.2032
12978104V,МИНФИН,745001,"4 755 184,93279",098,RU000A1034K8,26.05.2036
24021RMFS,МИНФИН,1000430,"1 000,43",1,RU000A101CK7,23.04.2024
25084RMFS,МИНФИН,984290,98429,1,RU000A101FA1,03.10.2023
25085RMFS,МИНФИН,786478,786478,1,RU000A103BQ2,23.09.2025
26207RMFS,МИНФИН,987610,98761,1,RU000A0JS3W6,02.02.2027
26211RMFS,МИНФИН,1000550,"1 000,55",1,RU000A0JTJL3,24.01.2023
26212RMFS,МИНФИН,923460,92346,1,RU000A0JTK38,18.01.2028
26215RMFS,МИНФИН,998520,99852,1,RU000A0JU4L3,15.08.2023
26218RMFS,МИНФИН,936070,93607,1,RU000A0JVW48,16.09.2031
26219RMFS,МИНФИН,979380,97938,1,RU000A0JWM07,15.09.2026
26221RMFS,МИНФИН,863740,86374,1,RU000A0JXFM1,22.03.2033
26222RMFS,МИНФИН,987630,98763,1,RU000A0JXQF2,15.10.2024
26223RMFS,МИНФИН,989420,98942,1,RU000A0ZYU88,27.02.2024
26224RMFS,МИНФИН,880280,88028,1,RU000A0ZYUA9,22.05.2029
26225RMFS,МИНФИН,823710,82371,1,RU000A0ZYUB7,08.05.2034
26226RMFS,МИНФИН,984230,98423,1,RU000A0ZZYW2,06.10.2026
26227RMFS,МИНФИН,994380,99438,1,RU000A1007F4,16.07.2024
26228RMFS,МИНФИН,894100,8941,1,RU000A100A82,09.04.2030
26229RMFS,МИНФИН,974800,9748,1,RU000A100EG3,11.11.2025
26230RMFS,МИНФИН,825850,82585,1,RU000A100EF5,15.03.2039
